[19:21:45] Epoch 1/200, Iter 37/228,Total Loss 0.554476, Loss_seg 1.614351,fusecross:0.669888, fusedice:0.944463,spec_modal_loss:1.9192676544189453 , circleloss[loss flair->t1:0.543571, loss t1->t1c:0.561972, loss t1c->t2:0.622287, loss t2->flair:0.554476, ], use_modality:[0, 3, 2, 1]
[19:21:46] Epoch 1/200, Iter 38/228,Total Loss 0.550993, Loss_seg 1.527350,fusecross:0.663091, fusedice:0.864259,spec_modal_loss:1.2000094652175903 , circleloss[loss flair->t1:0.538263, loss t1->t1c:0.551177, loss t1c->t2:0.619840, loss t2->flair:0.550993, ], use_modality:[3, 0, 2, 1]
[19:21:46] Epoch 1/200, Iter 39/228,Total Loss 0.546947, Loss_seg 1.662049,fusecross:0.678360, fusedice:0.983689,spec_modal_loss:1.3564478158950806 , circleloss[loss flair->t1:0.534491, loss t1->t1c:0.552706, loss t1c->t2:0.602917, loss t2->flair:0.546947, ], use_modality:[3, 0, 1, 2]
[19:21:46] -------- Dice_ET = 0.00197116710608356, Dice_WT = 0.15916359043629644, Dice_TC = 0.08925269547098609
[19:21:46] Epoch 1/200, Iter 40/228,Total Loss 0.543477, Loss_seg 1.620182,fusecross:0.676055, fusedice:0.944127,spec_modal_loss:1.000844120979309 , circleloss[loss flair->t1:0.535208, loss t1->t1c:0.554128, loss t1c->t2:0.616607, loss t2->flair:0.543477, ], use_modality:[2, 1, 3, 0]
[19:21:47] Epoch 1/200, Iter 41/228,Total Loss 0.542448, Loss_seg 1.599713,fusecross:0.659985, fusedice:0.939728,spec_modal_loss:1.8520190715789795 , circleloss[loss flair->t1:0.520215, loss t1->t1c:0.542543, loss t1c->t2:0.604106, loss t2->flair:0.542448, ], use_modality:[2, 1, 0, 3]
[19:21:47] Epoch 1/200, Iter 42/228,Total Loss 0.487903, Loss_seg 1.606216,fusecross:0.659397, fusedice:0.946819,spec_modal_loss:1.456498146057129 , circleloss[loss flair->t1:0.481264, loss t1->t1c:0.483059, loss t1c->t2:0.534521, loss t2->flair:0.487903, ], use_modality:[3, 2, 1, 0]
[19:21:47] Epoch 1/200, Iter 43/228,Total Loss 0.533799, Loss_seg 1.640559,fusecross:0.672901, fusedice:0.967658,spec_modal_loss:1.3808083534240723 , circleloss[loss flair->t1:0.528628, loss t1->t1c:0.545082, loss t1c->t2:0.609701, loss t2->flair:0.533799, ], use_modality:[0, 1, 3, 2]
[19:21:47] Epoch 1/200, Iter 44/228,Total Loss 0.535576, Loss_seg 1.630028,fusecross:0.665820, fusedice:0.964208,spec_modal_loss:0.6855452656745911 , circleloss[loss flair->t1:0.529266, loss t1->t1c:0.545065, loss t1c->t2:0.607086, loss t2->flair:0.535576, ], use_modality:[2, 0, 3, 1]
[19:21:47] Epoch 1/200, Iter 45/228,Total Loss 0.532482, Loss_seg 1.631279,fusecross:0.661635, fusedice:0.969645,spec_modal_loss:0.9130955934524536 , circleloss[loss flair->t1:0.523713, loss t1->t1c:0.533245, loss t1c->t2:0.597954, loss t2->flair:0.532482, ], use_modality:[0, 1, 3, 2]
[19:21:48] Epoch 1/200, Iter 46/228,Total Loss 0.539585, Loss_seg 1.640171,fusecross:0.661806, fusedice:0.978365,spec_modal_loss:1.2383639812469482 , circleloss[loss flair->t1:0.523348, loss t1->t1c:0.540430, loss t1c->t2:0.596404, loss t2->flair:0.539585, ], use_modality:[0, 2, 3, 1]
[19:21:48] Epoch 1/200, Iter 47/228,Total Loss 0.528200, Loss_seg 1.592192,fusecross:0.655596, fusedice:0.936595,spec_modal_loss:1.1809053421020508 , circleloss[loss flair->t1:0.522790, loss t1->t1c:0.537117, loss t1c->t2:0.601200, loss t2->flair:0.528200, ], use_modality:[3, 1, 0, 2]
